game,top_b_champ,jgl_b_champ,mid_b_champ,mid_b_dmgtaken,adc_b_champ,supp_b_champ,supp_b_vs,b_win,top_r_champ,jgl_r_champ,mid_r_champ,mid_r_dmgtaken,adc_r_champ,supp_r_champ,supp_r_vs,r_win
EUW1_6346252274,Sion,Viego,Vex,7797.0,Tristana,Alistar,21.0,True,Camille,Evelynn,Irelia,9518.0,Ezreal,Nautilus,5.0,False
EUW1_6346186109,Gangplank,Nasus,Akali,37542.0,Kaisa,Senna,90.0,False,Malphite,Evelynn,Irelia,57284.0,Sivir,Yuumi,68.0,True
EUW1_6346143915,Sett,Ekko,Qiyana,17917.0,Aphelios,Janna,61.0,False,Camille,Evelynn,Irelia,29806.0,Vayne,Nami,57.0,True
EUW1_6338496725,Riven,Gragas,Ryze,15010.0,Varus,Zilean,38.0,False,Renekton,Galio,LeeSin,23206.0,Jinx,Thresh,50.0,True
EUW1_6338451123,Riven,LeeSin,Akali,16546.0,Jinx,Thresh,50.0,True,Olaf,Gragas,Nunu,21514.0,Aphelios,Braum,64.0,False
EUW1_6338416226,Jayce,LeeSin,Cassiopeia,32436.0,Ashe,Milio,76.0,False,Renekton,Vi,Jinx,11653.0,Orianna,Rakan,86.0,True
EUW1_6338361432,Garen,Kindred,Zoe,19689.0,Senna,Rakan,110.0,True,Jax,MonkeyKing,Syndra,31460.0,Aphelios,Renata,95.0,False
EUW1_6331249804,Riven,Vi,Akali,23778.0,Lucian,Milio,71.0,True,Kennen,JarvanIV,Syndra,18818.0,Twitch,Rakan,65.0,False
EUW1_6345407942,Sett,MasterYi,Qiyana,22187.0,Sivir,Pyke,44.0,False,Jayce,Warwick,Taliyah,16422.0,Xayah,Leona,29.0,True
EUW1_6344897959,Aatrox,Ekko,Yasuo,13615.0,Jinx,TahmKench,36.0,False,Jax,Vi,Akali,11121.0,Zeri,Bard,67.0,True
EUW1_6344687081,Jax,Elise,Ahri,25955.0,Jinx,Lulu,72.0,False,Illaoi,Vi,Xerath,17772.0,Zeri,Zilean,117.0,True
EUW1_6344646828,KSante,LeeSin,Lissandra,26636.0,Kaisa,Rell,50.0,False,Darius,Kayn,Ziggs,14265.0,Zeri,Senna,65.0,True
EUW1_6345280654,Olaf,Shaco,Syndra,20777.0,Xayah,Chogath,71.0,True,Tryndamere,Nunu,Yone,32042.0,Aphelios,Heimerdinger,89.0,False
EUW1_6335997163,LeeSin,Gragas,Jinx,14249.0,Qiyana,Braum,47.0,False,Riven,Sejuani,Sylas,18819.0,Zeri,Nautilus,60.0,True
EUW1_6335910197,Camille,LeeSin,Akali,17138.0,Zeri,Janna,32.0,False,Jax,Udyr,Zilean,9410.0,Jinx,Annie,69.0,True
EUW1_6335857083,KSante,MonkeyKing,Orianna,12490.0,Jinx,Nautilus,39.0,False,Garen,LeeSin,Zoe,11273.0,Zeri,Heimerdinger,82.0,True
EUW1_6335770576,Jayce,Hecarim,AurelionSol,14125.0,Chogath,Senna,56.0,False,MonkeyKing,Udyr,Lux,13015.0,Zeri,Milio,57.0,True
EUW1_6346068163,Kled,Hecarim,Vex,11556.0,Kaisa,Soraka,39.0,True,Aatrox,Gragas,Yasuo,13425.0,Jinx,Amumu,40.0,False
EUW1_6344784976,Sion,Hecarim,Soraka,12918.0,Varus,Zac,28.0,True,Kennen,Graves,Tryndamere,28342.0,Tristana,Taric,48.0,False
EUW1_6344727257,LeeSin,Shaco,Anivia,30024.0,Varus,Renata,64.0,False,Olaf,Vi,Ahri,20637.0,Thresh,Jinx,13.0,True
EUW1_6343670008,Kled,LeeSin,Rumble,16705.0,Veigar,Senna,39.0,False,Neeko,Viego,Lux,6897.0,Zeri,Annie,58.0,True
EUW1_6339087183,KSante,Belveth,Vex,29550.0,Ezreal,Milio,99.0,True,Olaf,Karthus,Zed,33514.0,Jinx,Thresh,64.0,False
EUW1_6329920671,Renekton,Diana,Yasuo,30590.0,Sivir,Sona,56.0,False,Jax,Elise,Yone,25262.0,Zeri,Lulu,69.0,True
EUW1_6329818837,Sion,Evelynn,Jayce,22598.0,Lucian,Karma,56.0,False,Tryndamere,Kayn,Leblanc,21452.0,Ezreal,Annie,65.0,True
EUW1_6328778346,Olaf,MonkeyKing,Ahri,18248.0,Ezreal,Milio,63.0,True,Sion,Zac,Syndra,17380.0,Jinx,Thresh,54.0,False
EUW1_6328701173,KSante,LeeSin,Malzahar,15335.0,Xayah,Lux,37.0,False,Kayle,Viego,Viktor,10717.0,Zeri,Lulu,70.0,True
EUW1_6328337636,Jayce,Nidalee,Qiyana,18477.0,Kaisa,Blitzcrank,54.0,False,Malphite,Gragas,LeeSin,24069.0,Jinx,Lulu,43.0,True
EUW1_6346246729,Jayce,Kindred,Syndra,23007.0,Ziggs,Caitlyn,153.0,False,Malphite,Nidalee,Pyke,39702.0,Seraphine,Senna,101.0,True
EUW1_6346202660,Jayce,Vi,Sylas,22195.0,Lucian,Nami,44.0,True,Fiora,LeeSin,Pyke,17013.0,Chogath,Senna,31.0,False
EUW1_6346140620,Ornn,Kayn,Ezreal,24996.0,Karthus,Rell,85.0,False,Jayce,Elise,Pyke,26690.0,Samira,Alistar,74.0,True
EUW1_6342003712,Ornn,Hecarim,Tryndamere,25486.0,Ezreal,Karma,39.0,False,Olaf,Zac,Pyke,21071.0,Seraphine,Annie,50.0,True
EUW1_6346125639,Vayne,Evelynn,Zoe,18509.0,Jinx,Rell,58.0,True,Kennen,JarvanIV,Garen,27036.0,Senna,Chogath,33.0,False
